Simple Size Chart Popup,Simple Size Chart Popup
License and Status,License and Status
Serial Key,Serial Key
Status,Status
Enable for Specific Products,Enable for Specific Products
Enable for All Products,Enable for All Products
Disable,Disable
General Settings,General Settings
Size Chart Link On,Size Chart Link On
Text,Text
Image,Image
Text + Image,Text + Image
Size Chart Link Text,Size Chart Link Text
Size Chart Text Color,Size Chart Text Color
Action to Open Size Chart,Action to Open Size Chart
Hover,Hover
Click,Click
Show Size Chart Through,Show Size Chart Through
Block,Block
Upload Size Chart Image,Upload Size Chart Image
No file selected,No file selected
Delete Image,Delete Image
Allowed file types,Allowed file types
Size Chart Block Identifier,Size Chart Block Identifier
Select block you want to add in size chart link,Select block you want to add in size chart link
Enable Size Chart,Enable Size Chart
Static Block Id,Static Block Id
Mambaweb Services,Mambaweb Extensions
Mambaweb,Mambaweb
mambaweb,mambawebsupport
